20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C7E6 51 174 Emulator6502=[  PC: 51174, SP: 253, A: 0, X: 0, Y: 0, SR:67, SR=[  N: 0, V: 1, #: 1, B: 0, D: 0, I: 1, Z: 1, C: 1 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C7E7 51 175 Emulator6502=[  PC: 51175, SP: 253, A: 0, X: 0, Y: 0, SR:6F, SR=[  N: 0, V: 1, #: 1, B: 0, D: 1, I: 1, Z: 1, C: 1 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C7E8 51 176 Emulator6502=[  PC: 51176, SP: 252, A: 0, X: 0, Y: 0, SR:6F, SR=[  N: 0, V: 1, #: 1, B: 0, D: 1, I: 1, Z: 1, C: 1 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C7E9 51 177 Emulator6502=[  PC: 51177, SP: 253, A: 111, X: 0, Y: 0, SR:6D, SR=[  N: 0, V: 1, #: 1, B: 0, D: 1, I: 1, Z: 0, C: 1 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C7EB 51 179 Emulator6502=[  PC: 51179, SP: 253, A: 111, X: 0, Y: 0, SR:6D, SR=[  N: 0, V: 1, #: 1, B: 0, D: 1, I: 1, Z: 0, C: 1 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C7ED 51 181 Emulator6502=[  PC: 51181, SP: 253, A: 111, X: 0, Y: 0, SR:6F, SR=[  N: 0, V: 1, #: 1, B: 0, D: 1, I: 1, Z: 1, C: 1 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C7F3 51 187 Emulator6502=[  PC: 51187, SP: 253, A: 111, X: 0, Y: 0, SR:6F, SR=[  N: 0, V: 1, #: 1, B: 0, D: 1, I: 1, Z: 1, C: 1 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C7F4 51 188 Emulator6502=[  PC: 51188, SP: 253, A: 111, X: 0, Y: 0, SR:6F, SR=[  N: 0, V: 1, #: 1, B: 0, D: 1, I: 1, Z: 1, C: 1 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C7F6 51 190 Emulator6502=[  PC: 51190, SP: 253, A: 64, X: 0, Y: 0, SR:6D, SR=[  N: 0, V: 1, #: 1, B: 0, D: 1, I: 1, Z: 0, C: 1 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C7F8 51 192 Emulator6502=[  PC: 51192, SP: 253, A: 64, X: 0, Y: 0, SR:6D, SR=[  N: 0, V: 1, #: 1, B: 0, D: 1, I: 1, Z: 0, C: 1 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C7FA 51 194 Emulator6502=[  PC: 51194, SP: 253, A: 64, X: 0, Y: 0, SR:6D, SR=[  N: 0, V: 1, #: 1, B: 0, D: 1, I: 1, Z: 0, C: 1 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C7FB 51 195 Emulator6502=[  PC: 51195, SP: 253, A: 64, X: 0, Y: 0, SR:65, SR=[  N: 0, V: 1, #: 1, B: 0, D: 0, I: 1, Z: 0, C: 1 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C7FD 51 197 Emulator6502=[  PC: 51197, SP: 253, A: 16, X: 0, Y: 0, SR:65, SR=[  N: 0, V: 1, #: 1, B: 0, D: 0, I: 1, Z: 0, C: 1 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C7FE 51 198 Emulator6502=[  PC: 51198, SP: 253, A: 16, X: 0, Y: 0, SR:64, SR=[  N: 0, V: 1, #: 1, B: 0, D: 0, I: 1, Z: 0, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C7FF 51 199 Emulator6502=[  PC: 51199, SP: 252, A: 16, X: 0, Y: 0, SR:64, SR=[  N: 0, V: 1, #: 1, B: 0, D: 0, I: 1, Z: 0, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C800 51 200 Emulator6502=[  PC: 51200, SP: 253, A: 100, X: 0, Y: 0, SR:64, SR=[  N: 0, V: 1, #: 1, B: 0, D: 0, I: 1, Z: 0, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C802 51 202 Emulator6502=[  PC: 51202, SP: 253, A: 100, X: 0, Y: 0, SR:64, SR=[  N: 0, V: 1, #: 1, B: 0, D: 0, I: 1, Z: 0, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C804 51 204 Emulator6502=[  PC: 51204, SP: 253, A: 100, X: 0, Y: 0, SR:67, SR=[  N: 0, V: 1, #: 1, B: 0, D: 0, I: 1, Z: 1, C: 1 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C80A 51 210 Emulator6502=[  PC: 51210, SP: 253, A: 100, X: 0, Y: 0, SR:67, SR=[  N: 0, V: 1, #: 1, B: 0, D: 0, I: 1, Z: 1, C: 1 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C80B 51 211 Emulator6502=[  PC: 51211, SP: 253, A: 100, X: 0, Y: 0, SR:67, SR=[  N: 0, V: 1, #: 1, B: 0, D: 0, I: 1, Z: 1, C: 1 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C80D 51 213 Emulator6502=[  PC: 51213, SP: 253, A: 128, X: 0, Y: 0, SR:E5, SR=[  N: 1, V: 1, #: 1, B: 0, D: 0, I: 1, Z: 0, C: 1 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C80F 51 215 Emulator6502=[  PC: 51215, SP: 253, A: 128, X: 0, Y: 0, SR:E5, SR=[  N: 1, V: 1, #: 1, B: 0, D: 0, I: 1, Z: 0, C: 1 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C811 51 217 Emulator6502=[  PC: 51217, SP: 253, A: 128, X: 0, Y: 0, SR:A5, SR=[  N: 1, V: 0, #: 1, B: 0, D: 0, I: 1, Z: 0, C: 1 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C812 51 218 Emulator6502=[  PC: 51218, SP: 253, A: 128, X: 0, Y: 0, SR:AD, SR=[  N: 1, V: 0, #: 1, B: 0, D: 1, I: 1, Z: 0, C: 1 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C814 51 220 Emulator6502=[  PC: 51220, SP: 253, A: 0, X: 0, Y: 0, SR:2F, SR=[  N: 0, V: 0, #: 1, B: 0, D: 1, I: 1, Z: 1, C: 1 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C815 51 221 Emulator6502=[  PC: 51221, SP: 253, A: 0, X: 0, Y: 0, SR:2F, SR=[  N: 0, V: 0, #: 1, B: 0, D: 1, I: 1, Z: 1, C: 1 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C816 51 222 Emulator6502=[  PC: 51222, SP: 252, A: 0, X: 0, Y: 0, SR:2F, SR=[  N: 0, V: 0, #: 1, B: 0, D: 1, I: 1, Z: 1, C: 1 ]  ]
